pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
154;vt4_Viikinmäki;20190109;2;Helsinki;*;Ajoneuvoluokka;HA - PA;66;61;54;69;128;659;2188;2785;3043;1729;1099;1039;1028;970;999;1154;1346;1194;906;824;631;491;244;132;22839
154;vt4_Viikinmäki;20190110;1;Lahti;*;Ajoneuvoluokka;HA - PA;136;76;74;48;81;141;454;834;871;787;910;1032;1107;1240;1901;2800;2764;2221;1410;984;913;651;526;190;22151
154;vt4_Viikinmäki;20190110;2;Helsinki;*;Ajoneuvoluokka;HA - PA;79;39;54;52;129;693;2546;3003;2927;1731;1121;1179;1156;997;1066;1186;1300;1151;939;787;681;467;232;159;23674
154;vt4_Viikinmäki;20190111;1;Lahti;*;Ajoneuvoluokka;HA - PA;120;79;97;72;79;156;434;777;891;741;938;1064;1215;1514;2201;2943;2705;1802;1256;870;825;882;592;355;22608
154;vt4_Viikinmäki;20190111;2;Helsinki;*;Ajoneuvoluokka;HA - PA;76;66;55;69;136;665;2471;2772;2784;1723;1114;1150;1033;1101;1169;1309;1380;1284;1038;859;680;535;363;252;24084
154;vt4_Viikinmäki;20190112;1;Lahti;*;Ajoneuvoluokka;HA - PA;261;206;163;142;178;151;140;268;398;663;919;1048;1050;1141;1212;1373;1277;1161;930;766;707;587;609;386;15736
154;vt4_Viikinmäki;20190112;2;Helsinki;*;Ajoneuvoluokka;HA - PA;184;159;137;118;121;171;414;402;649;1011;905;1069;1203;1303;1241;1295;1214;1189;1008;808;646;475;374;305;16401
154;vt4_Viikinmäki;20190113;1;Lahti;*;Ajoneuvoluokka;HA - PA;286;219;234;202;184;131;122;199;243;407;729;762;979;1008;1123;1132;1266;1137;935;856;752;475;423;160;13964
154;vt4_Viikinmäki;20190113;2;Helsinki;*;Ajoneuvoluokka;HA - PA;238;166;152;132;120;133;295;249;351;536;694;860;965;1109;1165;1347;1187;1234;1099;935;637;433;246;110;14393
154;vt4_Viikinmäki;20190114;1;Lahti;*;Ajoneuvoluokka;HA - PA;94;57;54;41;92;203;443;837;947;713;940;989;1015;1171;1727;2871;2660;2359;1375;1100;862;629;387;163;21729
154;vt4_Viikinmäki;20190114;2;Helsinki;*;Ajoneuvoluokka;HA - PA;62;37;53;94;200;692;2390;2879;3027;1849;1088;1070;1006;941;1024;1022;1414;1059;877;701;669;429;223;104;22910
154;vt4_Viikinmäki;20190115;1;Lahti;*;Ajoneuvoluokka;HA - PA;96;68;73;43;53;127;433;838;900;747;922;936;1019;1243;1813;2862;2862;2255;1370;1020;1009;843;437;214;22183
154;vt4_Viikinmäki;20190115;2;Helsinki;*;Ajoneuvoluokka;HA - PA;51;41;44;52;123;693;2524;2952;3148;1770;1121;1134;1112;1033;1035;1148;1385;1290;953;796;672;481;247;101;23906
154;vt4_Viikinmäki;20190116;1;Lahti;*;Ajoneuvoluokka;HA - PA;92;85;58;44;67;136;422;860;925;784;961;987;1090;1192;1876;2868;2689;2312;1481;1072;1024;764;439;240;22468
154;vt4_Viikinmäki;20190116;2;Helsinki;*;Ajoneuvoluokka;HA - PA;44;51;43;55;136;640;2624;2813;3133;1837;1121;1162;1171;1051;1099;1363;1431;1306;1035;847;765;451;242;123;24543
154;vt4_Viikinmäki;20190117;1;Lahti;*;Ajoneuvoluokka;HA - PA;130;93;117;82;107;210;667;989;806;683;753;783;899;1025;1618;2404;2376;1766;1256;899;863;823;500;257;20106
154;vt4_Viikinmäki;20190117;2;Helsinki;*;Ajoneuvoluokka;HA - PA;76;75;77;89;196;910;2600;2794;2624;1648;969;938;907;905;922;1055;1195;1125;922;700;693;468;243;135;22266
154;vt4_Viikinmäki;20190118;1;Lahti;*;Ajoneuvoluokka;HA - PA;169;97;100;89;84;166;403;772;895;745;948;1058;1262;1501;2135;2742;2750;2102;1398;988;808;699;661;387;22959
154;vt4_Viikinmäki;20190118;2;Helsinki;*;Ajoneuvoluokka;HA - PA;86;71;71;65;159;631;2231;2727;2598;1830;1195;1202;1201;1177;1307;1368;1374;1234;1090;832;735;539;375;257;24355
154;vt4_Viikinmäki;20190119;1;Lahti;*;Ajoneuvoluokka;HA - PA;274;219;195;157;146;144;136;211;339;599;855;942;1126;1287;1472;1446;1383;1314;1064;685;643;577;563;399;16176
154;vt4_Viikinmäki;20190119;2;Helsinki;*;Ajoneuvoluokka;HA - PA;192;132;133;107;115;181;358;407;709;1131;1131;1334;1418;1405;1351;1218;1182;1150;1008;708;624;462;392;346;17194
154;vt4_Viikinmäki;20190120;1;Lahti;*;Ajoneuvoluokka;HA - PA;300;239;238;183;192;138;115;168;188;343;705;860;987;1139;1254;1304;1373;1210;1021;835;776;546;405;133;14652
